interiorLon,interiorLat,eulerLon,eulerLonSig,eulerLat,eulerLatSig,rotationRate,rotationRateSig,rotationInfo,aprioriTog,other1,other2,other3,other4,other5,other6,name,
94.596,23.102,78.738,5.106,38.81,3.706,0.557,0.134,0,0,0,0,0,0,0,0,"BurmanRanges            ",
75.15,41.011,74.398,0.072,44.321,0.224,2.25,0.161,0,0,0,0,0,0,0,0,"Kadjerty                ",
150.3,58.629,355.967,8.893,5.131,23.238,0.033,0.008,0,0,0,0,0,0,0,0,"OKHOTSK                 ",
354.22,36.046,168.613,0.709,-22.463,1.86,0.666,0.091,0,0,0,0,0,0,0,0,"Betics                  ",
355.87,36.847,6.146,2.065,56.38,3.009,0.549,0.084,0,0,0,0,0,0,0,0,"EBET                    ",
277.228,7.717,99.972,0.204,-2.77,0.509,4.005,0.518,0,0,0,0,0,0,0,0,"CR_forearc              ",
267.553,-21.835,239.696,1.073,68.096,0.646,0.505,0.002,0,0,0,0,0,0,0,0,"Nazca                   ",
35.702,34.16,216.138,0.136,-33.307,0.198,5.775,1.403,0,0,0,0,0,0,0,0,"lebanon1                ",
33.878,32.34,35.243,0.085,55.736,0.998,0.362,0.014,0,0,0,0,0,0,0,0,"Sinai                   ",
36.062,35.334,218.15,0.778,-27.146,3.233,0.971,0.386,0,0,0,0,0,0,0,0,"syria                   ",
35.996,33.831,30.044,12.029,47.088,22.055,0.611,0.999,0,0,0,0,0,0,0,0,"lebanon2                ",
40.013,-30.596,76.685,0.4,79.514,0.046,0.224,0,0,0,0,0,0,0,0,0,"LW                      ",
50.884,-8.619,75.694,0.42,80.116,0.144,0.234,0,0,0,0,0,0,0,0,0,"Somalia                 ",
148.113,-1.351,101.537,11.636,-48.819,5.332,0.816,0.074,0,0,0,0,0,0,0,0,"NorthBismarck           ",
149.037,-5.493,330.149,0.067,6.368,0.055,8.759,0.195,0,0,0,0,0,0,0,0,"SouthBismarck           ",
135.348,-2.379,351.694,3.733,9.935,0.661,1.024,0.09,0,0,0,0,0,0,0,0,"Maoke                   ",
133.018,-1.796,126.106,0.138,-9.499,0.107,3.681,0.069,0,0,0,0,0,0,0,0,"BirdsHead               ",
120.083,14.825,113.73,0.996,-7.592,3.148,0.994,0.132,0,0,0,0,0,0,0,0,"CLUZ                    ",
41.069,14.31,40.558,0.05,19.721,0.155,3.248,0.074,0,0,0,0,0,0,0,0,"RedSea                  ",
